y+,u_mean,u_rms,v_rms,w_rms,p_rms,-uv,-uv/(u_rms*v_rms),uv_rms,omega_z_mean,omega_x_rms,omega_y_rms,omega_z_rms,u_skew,v_skew,w_skew,uv_skew,p_skew,u_flat,v_flat,w_flat,uv_flat,p_flat,t_mean/t_tau,t_rms/t_tau,S(t),F(t),<ut>,<ut>/(u_rms*t_rms),- <vt>,-<vt>/(v_rms*t_rms)  (vt)_rms,,S(vt),F(vt),nu_t,alfa_t,Pr_t
0.439876E+02,0.150813E+02,0.180549E+01,0.786692E+00,0.101927E+01,0.169410E+01,0.640669E+00,0.451065E+00,0.170880E+01,-0.606854E-01,0.119093E+00,0.126384E+00,0.128298E+00,-0.649054E+00,0.169835E+00,-0.511795E-03,-0.241270E+01,-0.805838E+00,0.314056E+01,0.350098E+01,0.334151E+01,0.163867E+02,0.633990E+01,0.125619E+02,0.196900E+01,-0.448292E+00,0.266829E+01,0.303896E+01,0.849931E+00,0.669932E+00,0.435233E+00,0.178470E+01,-0.262633E+01,0.127538E+02,0.100878E+02,0.949449E+01,0.106200E+01
0.463295E+02,0.152185E+02,0.175589E+01,0.791416E+00,0.101451E+01,0.167685E+01,0.629301E+00,0.452855E+00,0.168515E+01,-0.565896E-01,0.116269E+00,0.121626E+00,0.122926E+00,-0.651525E+00,0.197138E+00,-0.180113E-02,-0.242112E+01,-0.808546E+00,0.317172E+01,0.348412E+01,0.334729E+01,0.168249E+02,0.631211E+01,0.127193E+02,0.192701E+01,-0.467898E+00,0.270884E+01,0.286379E+01,0.841842E+00,0.660655E+00,0.435939E+00,0.177215E+01,-0.268004E+01,0.132440E+02,0.105898E+02,0.995833E+01,0.106298E+01
0.487209E+02,0.153495E+02,0.170869E+01,0.794375E+00,0.100850E+01,0.165795E+01,0.617019E+00,0.454584E+00,0.165827E+01,-0.531014E-01,0.113419E+00,0.117096E+00,0.117908E+00,-0.652824E+00,0.222988E+00,-0.254348E-02,-0.242789E+01,-0.812636E+00,0.319912E+01,0.347510E+01,0.335345E+01,0.172764E+02,0.628898E+01,0.128702E+02,0.188549E+01,-0.487633E+00,0.275061E+01,0.269933E+01,0.833652E+00,0.650293E+00,0.436906E+00,0.175516E+01,-0.273712E+01,0.137682E+02,0.110367E+02,0.103920E+02,0.106170E+01
0.511605E+02,0.154753E+02,0.166376E+01,0.795732E+00,0.100135E+01,0.163760E+01,0.603935E+00,0.456181E+00,0.162868E+01,-0.501158E-01,0.110551E+00,0.112797E+00,0.113225E+00,-0.653319E+00,0.247305E+00,-0.290405E-02,-0.243306E+01,-0.818271E+00,0.322347E+01,0.347254E+01,0.335990E+01,0.177404E+02,0.627084E+01,0.130153E+02,0.184457E+01,-0.507588E+00,0.279380E+01,0.254527E+01,0.825389E+00,0.638965E+00,0.438055E+00,0.173422E+01,-0.279753E+01,0.143298E+02,0.114235E+02,0.107970E+02,0.105781E+01
0.536473E+02,0.155966E+02,0.162103E+01,0.795637E+00,0.993136E+00,0.161598E+01,0.590145E+00,0.457572E+00,0.159689E+01,-0.475367E-01,0.107692E+00,0.108723E+00,0.108838E+00,-0.653458E+00,0.270038E+00,-0.323498E-02,-0.243666E+01,-0.825271E+00,0.324567E+01,0.347524E+01,0.336799E+01,0.182138E+02,0.625825E+01,0.131550E+02,0.180431E+01,-0.527735E+00,0.283823E+01,0.240112E+01,0.817052E+00,0.626758E+00,0.439308E+00,0.170976E+01,-0.286106E+01,0.149261E+02,0.117517E+02,0.111783E+02,0.105118E+01
0.561800E+02,0.157141E+02,0.158039E+01,0.794230E+00,0.983931E+00,0.159318E+01,0.575750E+00,0.458697E+00,0.156337E+01,-0.452770E-01,0.104863E+00,0.104867E+00,0.104703E+00,-0.653497E+00,0.291164E+00,-0.374582E-02,-0.243893E+01,-0.833635E+00,0.326595E+01,0.348219E+01,0.337768E+01,0.186937E+02,0.625484E+01,0.132898E+02,0.176472E+01,-0.547845E+00,0.288343E+01,0.226633E+01,0.808656E+00,0.613776E+00,0.440620E+00,0.168225E+01,-0.292715E+01,0.155520E+02,0.120361E+02,0.115477E+02,0.104228E+01
0.587574E+02,0.158281E+02,0.154172E+01,0.791648E+00,0.973843E+00,0.156930E+01,0.560816E+00,0.459500E+00,0.152853E+01,-0.432710E-01,0.102090E+00,0.101214E+00,0.100810E+00,-0.653445E+00,0.310709E+00,-0.420126E-02,-0.244019E+01,-0.843606E+00,0.328432E+01,0.349257E+01,0.338840E+01,0.191854E+02,0.626490E+01,0.134197E+02,0.172581E+01,-0.567757E+00,0.292936E+01,0.214034E+01,0.800247E+00,0.600105E+00,0.441936E+00,0.165208E+01,-0.299533E+01,0.162070E+02,0.122929E+02,0.119150E+02,0.103175E+01
0.613784E+02,0.159391E+02,0.150481E+01,0.788013E+00,0.963040E+00,0.154447E+01,0.545389E+00,0.459934E+00,0.149268E+01,-0.414765E-01,0.993648E-01,0.977523E-01,0.971746E-01,-0.653425E+00,0.328737E+00,-0.424217E-02,-0.244074E+01,-0.855447E+00,0.330136E+01,0.350586E+01,0.340050E+01,0.196941E+02,0.629221E+01,0.135449E+02,0.168758E+01,-0.587448E+00,0.297640E+01,0.202243E+01,0.791872E+00,0.585776E+00,0.443172E+00,0.161963E+01,-0.306546E+01,0.168971E+02,0.125253E+02,0.122774E+02,0.102023E+01
0.640416E+02,0.160475E+02,0.146947E+01,0.783439E+00,0.951731E+00,0.151871E+01,0.529516E+00,0.459956E+00,0.145607E+01,-0.398563E-01,0.966429E-01,0.944637E-01,0.937770E-01,-0.653795E+00,0.345315E+00,-0.401503E-02,-0.244104E+01,-0.869257E+00,0.331815E+01,0.352173E+01,0.341458E+01,0.202245E+02,0.633798E+01,0.136656E+02,0.165001E+01,-0.607020E+00,0.302497E+01,0.191175E+01,0.783537E+00,0.570787E+00,0.444229E+00,0.158522E+01,-0.313733E+01,0.176270E+02,0.127284E+02,0.126206E+02,0.100854E+01
0.667459E+02,0.161532E+02,0.143554E+01,0.778038E+00,0.940040E+00,0.149205E+01,0.513242E+00,0.459520E+00,0.141894E+01,-0.383691E-01,0.939177E-01,0.913340E-01,0.905957E-01,-0.654951E+00,0.360516E+00,-0.403154E-02,-0.244136E+01,-0.884595E+00,0.333543E+01,0.353972E+01,0.343081E+01,0.207804E+02,0.639586E+01,0.137821E+02,0.161301E+01,-0.626545E+00,0.307524E+01,0.180751E+01,0.775219E+00,0.555140E+00,0.445024E+00,0.154923E+01,-0.321089E+01,0.184020E+02,0.128975E+02,0.129330E+02,0.997237E+00
0.694898E+02,0.162565E+02,0.140293E+01,0.771919E+00,0.927975E+00,0.146449E+01,0.496609E+00,0.458568E+00,0.138148E+01,-0.369762E-01,0.912104E-01,0.883500E-01,0.876005E-01,-0.657212E+00,0.374390E+00,-0.458490E-02,-0.244176E+01,-0.900711E+00,0.335377E+01,0.355912E+01,0.344799E+01,0.213618E+02,0.645850E+01,0.138945E+02,0.157659E+01,-0.646059E+00,0.312744E+01,0.170907E+01,0.766913E+00,0.538882E+00,0.445488E+00,0.151199E+01,-0.328621E+01,0.192236E+02,0.130344E+02,0.132174E+02,0.986099E+00
0.722721E+02,0.163575E+02,0.137157E+01,0.765171E+00,0.915497E+00,0.143601E+01,0.479659E+00,0.457036E+00,0.134385E+01,-0.356482E-01,0.885289E-01,0.855004E-01,0.847519E-01,-0.660624E+00,0.386982E+00,-0.533890E-02,-0.244219E+01,-0.917276E+00,0.337312E+01,0.357962E+01,0.346545E+01,0.219712E+02,0.652535E+01,0.140030E+02,0.154072E+01,-0.665468E+00,0.318128E+01,0.161600E+01,0.758632E+00,0.522058E+00,0.445543E+00,0.147378E+01,-0.336315E+01,0.200896E+02,0.131472E+02,0.134857E+02,0.974836E+00
0.750916E+02,0.164562E+02,0.134132E+01,0.757877E+00,0.902548E+00,0.140668E+01,0.462412E+00,0.454872E+00,0.130618E+01,-0.343679E-01,0.858690E-01,0.827745E-01,0.820388E-01,-0.664817E+00,0.398313E+00,-0.575695E-02,-0.244302E+01,-0.934381E+00,0.339269E+01,0.360126E+01,0.348372E+01,0.226163E+02,0.659875E+01,0.141077E+02,0.150532E+01,-0.684483E+00,0.323653E+01,0.152780E+01,0.750390E+00,0.504690E+00,0.445122E+00,0.143493E+01,-0.344205E+01,0.210103E+02,0.132429E+02,0.137417E+02,0.963622E+00
0.779467E+02,0.165526E+02,0.131200E+01,0.750115E+00,0.889054E+00,0.137664E+01,0.444885E+00,0.452040E+00,0.126854E+01,-0.331265E-01,0.832416E-01,0.801610E-01,0.794683E-01,-0.669426E+00,0.408319E+00,-0.557913E-02,-0.244443E+01,-0.952433E+00,0.341252E+01,0.362420E+01,0.350301E+01,0.232962E+02,0.668353E+01,0.142089E+02,0.147023E+01,-0.703020E+00,0.329405E+01,0.144395E+01,0.742190E+00,0.486820E+00,0.444183E+00,0.139577E+01,-0.352281E+01,0.219898E+02,0.133167E+02,0.139820E+02,0.952325E+00
0.808363E+02,0.166465E+02,0.128341E+01,0.741974E+00,0.874956E+00,0.134599E+01,0.427099E+00,0.448497E+00,0.123103E+01,-0.319150E-01,0.806765E-01,0.776518E-01,0.770044E-01,-0.674354E+00,0.416830E+00,-0.475097E-02,-0.244637E+01,-0.972171E+00,0.343382E+01,0.364835E+01,0.352215E+01,0.240052E+02,0.678635E+01,0.143064E+02,0.143543E+01,-0.721080E+00,0.335435E+01,0.136410E+01,0.734004E+00,0.468523E+00,0.442678E+00,0.135657E+01,-0.360453E+01,0.230161E+02,0.133574E+02,0.142095E+02,0.939922E+00
0.837588E+02,0.167381E+02,0.125539E+01,0.733546E+00,0.860286E+00,0.131489E+01,0.409061E+00,0.444188E+00,0.119375E+01,-0.307297E-01,0.781830E-01,0.752410E-01,0.746479E-01,-0.679482E+00,0.423634E+00,-0.325898E-02,-0.244884E+01,-0.993808E+00,0.345725E+01,0.367357E+01,0.354068E+01,0.247397E+02,0.690900E+01,0.144003E+02,0.140099E+01,-0.738384E+00,0.341699E+01,0.128795E+01,0.725797E+00,0.449846E+00,0.440500E+00,0.131734E+01,-0.368641E+01,0.240782E+02,0.133546E+02,0.144291E+02,0.925404E+00
0.867130E+02,0.168271E+02,0.122772E+01,0.724923E+00,0.845137E+00,0.128340E+01,0.390776E+00,0.439053E+00,0.115677E+01,-0.295749E-01,0.757550E-01,0.729179E-01,0.724483E-01,-0.684568E+00,0.428479E+00,-0.157736E-02,-0.245177E+01,-0.101678E+01,0.348225E+01,0.369949E+01,0.355820E+01,0.255019E+02,0.704848E+01,0.144906E+02,0.136694E+01,-0.754525E+00,0.348106E+01,0.121520E+01,0.717557E+00,0.430800E+00,0.437519E+00,0.127813E+01,-0.376791E+01,0.251720E+02,0.132999E+02,0.146297E+02,0.908975E+00
0.896974E+02,0.169137E+02,0.120027E+01,0.716195E+00,0.829657E+00,0.125154E+01,0.372256E+00,0.433017E+00,0.112020E+01,-0.284488E-01,0.733775E-01,0.706715E-01,0.704129E-01,-0.689617E+00,0.431104E+00,-0.678693E-03,-0.245511E+01,-0.104024E+01,0.350882E+01,0.372552E+01,0.357319E+01,0.262996E+02,0.719560E+01,0.145770E+02,0.133330E+01,-0.769362E+00,0.354601E+01,0.114563E+01,0.709270E+00,0.411381E+00,0.433581E+00,0.123899E+01,-0.384800E+01,0.262966E+02,0.131941E+02,0.147889E+02,0.892023E+00
0.927105E+02,0.169977E+02,0.117303E+01,0.707448E+00,0.814005E+00,0.121938E+01,0.353523E+00,0.425974E+00,0.108411E+01,-0.273344E-01,0.710414E-01,0.684970E-01,0.685125E-01,-0.694973E+00,0.431271E+00,-0.918516E-03,-0.245904E+01,-0.106326E+01,0.353799E+01,0.375104E+01,0.358618E+01,0.271275E+02,0.733844E+01,0.146599E+02,0.130005E+01,-0.782740E+00,0.361153E+01,0.107908E+01,0.700908E+00,0.391600E+00,0.428538E+00,0.120003E+01,-0.392551E+01,0.274533E+02,0.130504E+02,0.148898E+02,0.876290E+00
0.957511E+02,0.170791E+02,0.114604E+01,0.698768E+00,0.798315E+00,0.118700E+01,0.334612E+00,0.417807E+00,0.104854E+01,-0.262109E-01,0.687506E-01,0.663974E-01,0.667210E-01,-0.700953E+00,0.428803E+00,-0.170317E-02,-0.246363E+01,-0.108511E+01,0.357094E+01,0.377544E+01,0.359924E+01,0.279754E+02,0.747063E+01,0.147389E+02,0.126720E+01,-0.794374E+00,0.367708E+01,0.101538E+01,0.692446E+00,0.371489E+00,0.422268E+00,0.116143E+01,-0.399847E+01,0.286243E+02,0.128804E+02,0.149253E+02,0.862704E+00
0.988175E+02,0.171578E+02,0.111933E+01,0.690233E+00,0.782665E+00,0.115448E+01,0.315546E+00,0.408389E+00,0.101356E+01,-0.250624E-01,0.665108E-01,0.643782E-01,0.650155E-01,-0.707515E+00,0.423596E+00,-0.238099E-02,-0.246822E+01,-0.110577E+01,0.360842E+01,0.379829E+01,0.361222E+01,0.288395E+02,0.759303E+01,0.148143E+02,0.123476E+01,-0.804032E+00,0.374160E+01,0.954463E+00,0.683881E+00,0.351090E+00,0.414635E+00,0.112339E+01,-0.406411E+01,0.297910E+02,0.126849E+02,0.149130E+02,0.850176E+00
0.101908E+03,0.172334E+02,0.109287E+01,0.681924E+00,0.767074E+00,0.112207E+01,0.296340E+00,0.397601E+00,0.979221E+00,-0.238821E-01,0.643588E-01,0.624416E-01,0.634055E-01,-0.714034E+00,0.415620E+00,-0.250788E-02,-0.247173E+01,-0.112558E+01,0.364961E+01,0.381908E+01,0.362298E+01,0.297097E+02,0.771052E+01,0.148857E+02,0.120286E+01,-0.811260E+00,0.380309E+01,0.896269E+00,0.675200E+00,0.330446E+00,0.405471E+00,0.108609E+01,-0.411986E+01,0.309527E+02,0.124630E+02,0.148978E+02,0.836094E+00
0.105022E+03,0.173059E+02,0.106661E+01,0.673917E+00,0.751616E+00,0.108992E+01,0.277000E+00,0.385321E+00,0.945575E+00,-0.226724E-01,0.623292E-01,0.605866E-01,0.619261E-01,-0.719678E+00,0.404873E+00,-0.183318E-02,-0.247339E+01,-0.114438E+01,0.369287E+01,0.383711E+01,0.363126E+01,0.305739E+02,0.782263E+01,0.149532E+02,0.117158E+01,-0.815231E+00,0.385844E+01,0.840643E+00,0.666351E+00,0.309570E+00,0.394601E+00,0.104972E+01,-0.416278E+01,0.320986E+02,0.122187E+02,0.149180E+02,0.818611E+00
0.108158E+03,0.173750E+02,0.104056E+01,0.666273E+00,0.736495E+00,0.105814E+01,0.257531E+00,0.371418E+00,0.912660E+00,-0.214350E-01,0.603997E-01,0.588156E-01,0.605961E-01,-0.723729E+00,0.391353E+00,-0.487800E-03,-0.247236E+01,-0.116139E+01,0.373662E+01,0.385168E+01,0.363804E+01,0.314334E+02,0.792120E+01,0.150166E+02,0.114099E+01,-0.815483E+00,0.390604E+01,0.787459E+00,0.657253E+00,0.288466E+00,0.381845E+00,0.101449E+01,-0.418826E+01,0.331891E+02,0.119597E+02,0.149776E+02,0.798136E+00
0.111313E+03,0.174407E+02,0.101479E+01,0.659038E+00,0.721933E+00,0.102691E+01,0.237950E+00,0.355751E+00,0.880555E+00,-0.201587E-01,0.585266E-01,0.571315E-01,0.594228E-01,-0.725368E+00,0.375053E+00,0.912150E-03,-0.246686E+01,-0.117542E+01,0.377833E+01,0.386246E+01,0.364293E+01,0.322884E+02,0.799820E+01,0.150757E+02,0.111132E+01,-0.812158E+00,0.394593E+01,0.736835E+00,0.647855E+00,0.267151E+00,0.367009E+00,0.980592E+00,-0.419139E+01,0.342184E+02,0.117024E+02,0.150572E+02,0.776935E+00
0.114487E+03,0.175026E+02,0.989503E+00,0.652250E+00,0.708040E+00,0.996440E+00,0.218285E+00,0.338172E+00,0.849367E+00,-0.188245E-01,0.567159E-01,0.555361E-01,0.583849E-01,-0.723919E+00,0.355978E+00,0.172863E-02,-0.245423E+01,-0.118576E+01,0.381530E+01,0.386975E+01,0.364528E+01,0.331175E+02,0.804993E+01,0.151304E+02,0.108285E+01,-0.805352E+00,0.397714E+01,0.689044E+00,0.638149E+00,0.245630E+00,0.349870E+00,0.948171E+00,-0.416685E+01,0.352005E+02,0.114698E+02,0.151336E+02,0.757775E+00
0.117678E+03,0.175604E+02,0.964949E+00,0.645941E+00,0.694851E+00,0.966985E+00,0.198564E+00,0.318524E+00,0.819304E+00,-0.174154E-01,0.549980E-01,0.540325E-01,0.574457E-01,-0.718853E+00,0.334166E+00,0.155913E-02,-0.243116E+01,-0.119262E+01,0.384442E+01,0.387407E+01,0.364623E+01,0.338773E+02,0.807806E+01,0.151807E+02,0.105574E+01,-0.794772E+00,0.399757E+01,0.644337E+00,0.628184E+00,0.223899E+00,0.330259E+00,0.917403E+00,-0.410723E+01,0.361107E+02,0.112812E+02,0.152013E+02,0.742179E+00
0.120884E+03,0.176138E+02,0.941368E+00,0.640148E+00,0.682392E+00,0.938892E+00,0.178808E+00,0.296674E+00,0.790668E+00,-0.159195E-01,0.534088E-01,0.526275E-01,0.566067E-01,-0.709553E+00,0.309677E+00,0.148620E-03,-0.239243E+01,-0.119667E+01,0.386160E+01,0.387585E+01,0.364453E+01,0.344992E+02,0.809171E+01,0.152265E+02,0.103018E+01,-0.780685E+00,0.400732E+01,0.602958E+00,0.618086E+00,0.201999E+00,0.308083E+00,0.888522E+00,-0.400343E+01,0.369137E+02,0.111488E+02,0.152881E+02,0.729512E+00
0.124104E+03,0.176625E+02,0.918989E+00,0.634900E+00,0.670756E+00,0.912511E+00,0.159036E+00,0.272525E+00,0.763708E+00,-0.143331E-01,0.519641E-01,0.513331E-01,0.558779E-01,-0.695644E+00,0.282582E+00,-0.282050E-02,-0.233127E+01,-0.119844E+01,0.386392E+01,0.387528E+01,0.363621E+01,0.349179E+02,0.809949E+01,0.152677E+02,0.100641E+01,-0.763468E+00,0.400570E+01,0.565146E+00,0.608030E+00,0.179963E+00,0.283262E+00,0.861684E+00,-0.384527E+01,0.375609E+02,0.110812E+02,0.154275E+02,0.718694E+00
0.127337E+03,0.177062E+02,0.898081E+00,0.630217E+00,0.660097E+00,0.888132E+00,0.139251E+00,0.245986E+00,0.738585E+00,-0.126640E-01,0.506464E-01,0.501623E-01,0.552469E-01,-0.677414E+00,0.252999E+00,-0.738165E-02,-0.224124E+01,-0.119811E+01,0.385159E+01,0.387251E+01,0.362020E+01,0.351165E+02,0.810151E+01,0.153042E+02,0.984631E+00,-0.743362E+00,0.399164E+01,0.531124E+00,0.598234E+00,0.157787E+00,0.255724E+00,0.837032E+00,-0.362355E+01,0.380358E+02,0.110815E+02,0.155993E+02,0.710705E+00
0.130580E+03,0.177445E+02,0.878953E+00,0.626109E+00,0.650591E+00,0.866049E+00,0.119445E+00,0.217001E+00,0.715529E+00,-0.109292E-01,0.494537E-01,0.491229E-01,0.547078E-01,-0.655941E+00,0.221159E+00,-0.127417E-01,-0.211588E+01,-0.119465E+01,0.382698E+01,0.386789E+01,0.359957E+01,0.350994E+02,0.808458E+01,0.153360E+02,0.965075E+00,-0.721330E+00,0.396656E+01,0.501120E+00,0.588939E+00,0.135479E+00,0.225475E+00,0.814819E+00,-0.332951E+01,0.383268E+02,0.111389E+02,0.157318E+02,0.707848E+00
0.133833E+03,0.177771E+02,0.861936E+00,0.622588E+00,0.642390E+00,0.846542E+00,0.996100E-01,0.185581E+00,0.694908E+00,-0.914748E-02,0.484054E-01,0.482208E-01,0.542661E-01,-0.632926E+00,0.187358E+00,-0.179394E-01,-0.194862E+01,-0.118689E+01,0.379294E+01,0.386207E+01,0.357862E+01,0.348833E+02,0.803321E+01,0.153629E+02,0.948018E+00,-0.698900E+00,0.393383E+01,0.475337E+00,0.580398E+00,0.113066E+00,0.192625E+00,0.795358E+00,-0.295585E+01,0.384395E+02,0.112359E+02,0.157647E+02,0.711349E+00
0.137094E+03,0.178041E+02,0.847406E+00,0.619673E+00,0.635607E+00,0.829915E+00,0.797440E-01,0.151826E+00,0.677179E+00,-0.733544E-02,0.475140E-01,0.474656E-01,0.539026E-01,-0.610405E+00,0.151918E+00,-0.225322E-01,-0.173440E+01,-0.117565E+01,0.375348E+01,0.385588E+01,0.356055E+01,0.345079E+02,0.794668E+01,0.153849E+02,0.933714E+00,-0.677366E+00,0.389616E+01,0.453943E+00,0.572845E+00,0.905612E-01,0.157369E+00,0.778938E+00,-0.249939E+01,0.384051E+02,0.113770E+02,0.156885E+02,0.721496E+00
0.140361E+03,0.178251E+02,0.835710E+00,0.617391E+00,0.630307E+00,0.816528E+00,0.598450E-01,0.115961E+00,0.662807E+00,-0.550614E-02,0.467945E-01,0.468673E-01,0.536160E-01,-0.590286E+00,0.115160E+00,-0.265012E-01,-0.147185E+01,-0.116330E+01,0.371354E+01,0.385008E+01,0.354642E+01,0.340432E+02,0.784497E+01,0.154021E+02,0.922312E+00,-0.658112E+00,0.385797E+01,0.437068E+00,0.566549E+00,0.679716E-01,0.120011E+00,0.765836E+00,-0.196241E+01,0.382721E+02,0.116294E+02,0.155432E+02,0.739367E+00
0.143632E+03,0.178400E+02,0.827120E+00,0.615764E+00,0.626523E+00,0.806722E+00,0.399162E-01,0.783548E-01,0.652210E+00,-0.367037E-02,0.462685E-01,0.464337E-01,0.534320E-01,-0.574201E+00,0.773780E-01,-0.298290E-01,-0.116461E+01,-0.115281E+01,0.367815E+01,0.384520E+01,0.353734E+01,0.335876E+02,0.776046E+01,0.154144E+02,0.913934E+00,-0.642715E+00,0.382513E+01,0.424851E+00,0.561803E+00,0.453243E-01,0.809730E-01,0.756306E+00,-0.135415E+01,0.380966E+02,0.122979E+02,0.154809E+02,0.770151E+00
0.146907E+03,0.178491E+02,0.821856E+00,0.614796E+00,0.624256E+00,0.800737E+00,0.199649E-01,0.395040E-01,0.645720E+00,-0.183457E-02,0.459510E-01,0.461700E-01,0.533444E-01,-0.563718E+00,0.388772E-01,-0.321676E-01,-0.822259E+00,-0.114645E+01,0.365313E+01,0.384182E+01,0.353281E+01,0.332531E+02,0.771250E+01,0.154218E+02,0.908763E+00,-0.632625E+00,0.380279E+01,0.417433E+00,0.558849E+00,0.226590E-01,0.407772E-01,0.750534E+00,-0.691790E+00,0.379260E+02,0.167433E+02,0.165414E+02,0.889337E+00
0.150183E+03,0.178521E+02,0.820080E+00,0.614475E+00,0.623501E+00,0.798725E+00,0.000000E+00,0.000000E+00,0.643537E+00,0.000000E+00,0.458455E-01,0.460812E-01,0.533218E-01,-0.560071E+00,0.000000E+00,-0.330179E-01,-0.459823E+00,-0.114448E+01,0.364399E+01,0.384058E+01,0.353142E+01,0.331295E+02,0.769848E+01,0.154244E+02,0.907009E+00,-0.629095E+00,0.379480E+01,0.414941E+00,0.557841E+00,0.000000E+00,0.000000E+00,0.748605E+00,0.000000E+00,0.378465E+02,-0.580318E+01,0.167898E+00,-0.345638E+02